tokens,accesses,workload,l1_capacity,batch_size,total,l1_hits,l2_hits,l3_hits,overall,l1_share,l2_share,l3_share,avg_latency_ns,total_estimated_bytes,estimated_comm_bw_MBps,promote_l3_to_l2,promote_l2_to_l1,demote_l1_to_l2,demote_l2_to_l3
2000,10000,1,2048,16,10000,0,9491,509,1,0,0.9491,0.0509,230.54,1985152,821.197,0,0,0,0
2000,10000,1,2048,32,10000,2951,6560,489,1,0.2951,0.656,0.0489,185.075,1604864,826.972,0,0,0,0
2000,10000,1,2048,64,10000,3734,5803,463,1,0.3734,0.5803,0.0463,171.77,1501312,833.535,0,0,0,0
2000,10000,1,2048,128,10000,6411,3102,487,1,0.6411,0.3102,0.0487,133.055,1161728,832.671,0,0,0,0
2000,10000,1,2048,256,10000,6204,3299,497,1,0.6204,0.3299,0.0497,136.76,1189504,829.482,0,0,0,0
2000,10000,1,4096,16,10000,3505,5993,502,1,0.3505,0.5993,0.0502,177.545,1535616,824.849,0,0,0,0
2000,10000,1,4096,32,10000,4693,4807,500,1,0.4693,0.4807,0.05,159.605,1383296,826.549,0,0,0,0
2000,10000,1,4096,64,10000,2213,7291,496,1,0.2213,0.7291,0.0496,196.565,1700224,824.898,0,0,0,0
2000,10000,1,4096,128,10000,2704,6775,521,1,0.2704,0.6775,0.0521,190.7,1640576,820.438,0,0,0,0
2000,10000,1,4096,256,10000,6770,2727,503,1,0.677,0.2727,0.0503,128.63,1117824,828.765,0,0,0,0
2000,10000,1,8192,16,10000,3574,5936,490,1,0.3574,0.5936,0.049,175.79,1525248,827.459,0,0,0,0
2000,10000,1,8192,32,10000,3362,6169,469,1,0.3362,0.6169,0.0469,177.71,1549696,831.639,0,0,0,0
2000,10000,1,8192,64,10000,0,9501,499,1,0,0.9501,0.0499,229.94,1983872,822.809,0,0,0,0
2000,10000,1,8192,128,10000,5799,3732,469,1,0.5799,0.3732,0.0469,141.155,1237760,836.258,0,0,0,0
2000,10000,1,8192,256,10000,2929,6588,483,1,0.2929,0.6588,0.0483,185.045,1606912,828.161,0,0,0,0
