tokens,accesses,workload,l1_capacity,batch_size,total,l1_hits,l2_hits,l3_hits,overall,l1_share,l2_share,l3_share,avg_latency_ns,total_estimated_bytes,estimated_comm_bw_MBps,promote_l3_to_l2,promote_l2_to_l1,demote_l1_to_l2,demote_l2_to_l3
2000,10000,1,2048,16,10000,0,9488,512,1,0,0.9488,0.0512,230.72,1985536,820.715,0,0,0,0
2000,10000,1,2048,32,10000,6165,3348,487,1,0.6165,0.3348,0.0487,136.745,1193216,832.162,0,0,0,0
2000,10000,1,2048,64,10000,4223,5307,470,1,0.4223,0.5307,0.047,164.855,1439616,832.808,0,0,0,0
2000,10000,1,2048,128,10000,2470,7035,495,1,0.247,0.7035,0.0495,192.65,1667200,825.313,0,0,0,0
2000,10000,1,2048,256,10000,1539,7947,514,1,0.1539,0.7947,0.0514,207.755,1788800,821.127,0,0,0,0
2000,10000,1,4096,16,10000,3749,5762,489,1,0.3749,0.5762,0.0489,173.105,1502720,827.882,0,0,0,0
2000,10000,1,4096,32,10000,2323,7199,478,1,0.2323,0.7199,0.0478,193.835,1683840,828.455,0,0,0,0
2000,10000,1,4096,64,10000,4921,4615,464,1,0.4921,0.4615,0.0464,154.025,1349504,835.57,0,0,0,0
2000,10000,1,4096,128,10000,5135,4360,505,1,0.5135,0.436,0.0505,153.275,1327360,825.881,0,0,0,0
2000,10000,1,4096,256,10000,7100,2411,489,1,0.71,0.2411,0.0489,122.84,1073792,833.644,0,0,0,0
2000,10000,1,8192,16,10000,5215,4286,499,1,0.5215,0.4286,0.0499,151.715,1316352,827.454,0,0,0,0
2000,10000,1,8192,32,10000,2604,6887,509,1,0.2604,0.6887,0.0509,191.48,1651840,822.706,0,0,0,0
2000,10000,1,8192,64,10000,3305,6197,498,1,0.3305,0.6197,0.0498,180.305,1560704,825.492,0,0,0,0
2000,10000,1,8192,128,10000,7820,1697,483,1,0.782,0.1697,0.0483,111.68,980864,837.594,0,0,0,0
2000,10000,1,8192,256,10000,4646,4886,468,1,0.4646,0.4886,0.0468,158.39,1385216,834.046,0,0,0,0
