tokens,accesses,workload,l1_capacity,batch_size,total,l1_hits,l2_hits,l3_hits,overall,l1_share,l2_share,l3_share,avg_latency_ns,total_estimated_bytes,estimated_comm_bw_MBps,promote_l3_to_l2,promote_l2_to_l1,demote_l1_to_l2,demote_l2_to_l3
5000,20000,1,2048,16,20000,12194,6953,853,1,0.6097,0.34765,0.04265,134.135,2388352,849.036,0,0,0,0
5000,20000,1,2048,32,20000,10909,8265,826,1,0.54545,0.41325,0.0413,142.963,2549376,850.319,0,0,0,0
5000,20000,1,2048,64,20000,5645,13529,826,1,0.28225,0.67645,0.0413,182.442,3223168,842.417,0,0,0,0
5000,20000,1,2048,128,20000,8378,10814,808,1,0.4189,0.5407,0.0404,161.405,2871040,848.188,0,0,0,0
5000,20000,1,2048,256,20000,10383,8778,839,1,0.51915,0.4389,0.04195,147.298,2618368,847.628,0,0,0,0
5000,20000,1,4096,16,20000,6232,12897,871,1,0.3116,0.64485,0.04355,179.39,3153792,838.311,0,0,0,0
5000,20000,1,4096,32,20000,13845,5323,832,1,0.69225,0.26615,0.0416,121.123,2174336,855.996,0,0,0,0
5000,20000,1,4096,64,20000,8749,10453,798,1,0.43745,0.52265,0.0399,158.322,2822272,850.014,0,0,0,0
5000,20000,1,4096,128,20000,12302,6864,834,1,0.6151,0.3432,0.0417,132.755,2372096,852.023,0,0,0,0
5000,20000,1,4096,256,20000,15338,3827,835,1,0.7669,0.19135,0.04175,110.015,1983616,859.757,0,0,0,0
5000,20000,1,8192,16,20000,7595,11575,830,1,0.37975,0.57875,0.0415,167.938,2974080,844.452,0,0,0,0
5000,20000,1,8192,32,20000,9982,9203,815,1,0.4991,0.46015,0.04075,149.585,2666624,850.049,0,0,0,0
5000,20000,1,8192,64,20000,6780,12375,845,1,0.339,0.61875,0.04225,174.5,3080320,841.726,0,0,0,0
5000,20000,1,8192,128,20000,6240,12938,822,1,0.312,0.6469,0.0411,177.86,3146496,843.566,0,0,0,0
5000,20000,1,8192,256,20000,7202,11957,841,1,0.3601,0.59785,0.04205,171.215,3025792,842.689,0,0,0,0
