tokens,accesses,workload,l1_capacity,batch_size,pre_stage_ratio,expand_window,total,l1_hits,l2_hits,l3_hits,overall,l1_share,l2_share,l3_share,avg_latency_ns,total_estimated_bytes,estimated_comm_bw_MBps,num_expands,avg_expand_batch,promote_l3_to_l2,promote_l2_to_l1,demote_l1_to_l2,demote_l2_to_l3
5000,20000,1,2048,16,0,1,20000,16063,3110,827,1,0.80315,0.1555,0.04135,104.338,1889792,863.662,827,1,0,0,0,0
5000,20000,1,2048,32,0,1,20000,12627,6578,795,1,0.63135,0.3289,0.03975,129.148,2325504,858.62,795,1,0,0,0,0
5000,20000,1,2048,64,0,1,20000,14555,4579,866,1,0.72775,0.22895,0.0433,116.817,2087808,852.222,866,1,0,0,0,0
5000,20000,1,2048,128,0,1,20000,14184,5014,802,1,0.7092,0.2507,0.0401,117.68,2127104,861.899,802,1,0,0,0,0
5000,20000,1,2048,256,0,1,20000,10172,8977,851,1,0.5086,0.44885,0.04255,149.24,2646912,845.716,851,1,0,0,0,0
5000,20000,1,4096,16,0,1,20000,13939,5212,849,1,0.69695,0.2606,0.04245,120.927,2164480,853.49,849,1,0,0,0,0
5000,20000,1,4096,32,0,1,20000,7678,11524,798,1,0.3839,0.5762,0.0399,166.355,2959360,848.266,798,1,0,0,0,0
5000,20000,1,4096,64,0,1,20000,10746,8419,835,1,0.5373,0.42095,0.04175,144.455,2571392,848.801,835,1,0,0,0,0
5000,20000,1,4096,128,0,1,20000,14680,4467,853,1,0.734,0.22335,0.04265,115.49,2070144,854.725,853,1,0,0,0,0
5000,20000,1,4096,256,0,1,20000,13171,6041,788,1,0.65855,0.30205,0.0394,124.858,2254976,861.187,788,1,0,0,0,0
5000,20000,1,8192,16,0,1,20000,11712,7447,841,1,0.5856,0.37235,0.04205,137.39,2448512,849.801,841,1,0,0,0,0
5000,20000,1,8192,32,0,1,20000,10792,8380,828,1,0.5396,0.419,0.0414,143.9,2564608,849.827,828,1,0,0,0,0
5000,20000,1,8192,64,0,1,20000,8177,11004,819,1,0.40885,0.5502,0.04095,163.243,2898176,846.568,819,1,0,0,0,0
5000,20000,1,8192,128,0,1,20000,11806,7424,770,1,0.5903,0.3712,0.0385,134.555,2427392,860.221,770,1,0,0,0,0
5000,20000,1,8192,256,0,1,20000,14069,5111,820,1,0.70345,0.25555,0.041,119.082,2144128,858.564,820,1,0,0,0,0
