tokens,accesses,workload,l1_capacity,batch_size,total,l1_hits,l2_hits,l3_hits,overall,l1_share,l2_share,l3_share,avg_latency_ns
5000,20000,1,2048,16,20000,13569,5600,831,1,0.67845,0.28,0.04155,123.162
5000,20000,1,2048,32,20000,13127,6045,828,1,0.65635,0.30225,0.0414,126.388
5000,20000,1,2048,64,20000,10822,8361,817,1,0.5411,0.41805,0.04085,143.345
5000,20000,1,2048,128,20000,10386,8769,845,1,0.5193,0.43845,0.04225,147.455
5000,20000,1,2048,256,20000,16129,3033,838,1,0.80645,0.15165,0.0419,104.172
5000,20000,1,4096,16,20000,15900,3279,821,1,0.795,0.16395,0.04105,105.38
5000,20000,1,4096,32,20000,14678,4501,821,1,0.7339,0.22505,0.04105,114.545
5000,20000,1,4096,64,20000,14473,4692,835,1,0.72365,0.2346,0.04175,116.502
5000,20000,1,4096,128,20000,14537,4635,828,1,0.72685,0.23175,0.0414,115.812
5000,20000,1,4096,256,20000,13711,5473,816,1,0.68555,0.27365,0.0408,121.647
5000,20000,1,8192,16,20000,13258,5923,819,1,0.6629,0.29615,0.04095,125.135
5000,20000,1,8192,32,20000,14566,4637,797,1,0.7283,0.23185,0.03985,114.665
5000,20000,1,8192,64,20000,14589,4586,825,1,0.72945,0.2293,0.04125,115.332
5000,20000,1,8192,128,20000,7764,11432,804,1,0.3882,0.5716,0.0402,165.89
5000,20000,1,8192,256,20000,6952,12270,778,1,0.3476,0.6135,0.0389,171.2
