tokens,accesses,workload,l1_capacity,batch_size,total,l1_hits,l2_hits,l3_hits,overall,l1_share,l2_share,l3_share,avg_latency_ns,total_estimated_bytes,estimated_comm_bw_MBps,promote_l3_to_l2,promote_l2_to_l1,demote_l1_to_l2,demote_l2_to_l3
5000,20000,1,2048,16,20000,9585,9573,842,1,0.47925,0.47865,0.0421,153.373,2720896,845.93,0,0,0,0
5000,20000,1,2048,32,20000,14731,4435,834,1,0.73655,0.22175,0.0417,114.537,2061184,858.102,0,0,0,0
5000,20000,1,2048,64,20000,10322,8840,838,1,0.5161,0.442,0.0419,147.725,2626048,847.654,0,0,0,0
5000,20000,1,2048,128,20000,10389,8771,840,1,0.51945,0.43855,0.042,147.282,2617728,847.507,0,0,0,0
5000,20000,1,2048,256,20000,12749,6417,834,1,0.63745,0.32085,0.0417,129.403,2314880,853.014,0,0,0,0
5000,20000,1,4096,16,20000,8768,10385,847,1,0.4384,0.51925,0.04235,159.65,2826112,844.093,0,0,0,0
5000,20000,1,4096,32,20000,12326,6832,842,1,0.6163,0.3416,0.0421,132.815,2370048,850.903,0,0,0,0
5000,20000,1,4096,64,20000,11648,7502,850,1,0.5824,0.3751,0.0425,138.14,2457856,848.413,0,0,0,0
5000,20000,1,4096,128,20000,12016,7173,811,1,0.6008,0.35865,0.04055,134.21,2405760,854.747,0,0,0,0
5000,20000,1,4096,256,20000,12668,6493,839,1,0.6334,0.32465,0.04195,130.16,2325888,852.082,0,0,0,0
5000,20000,1,8192,16,20000,11632,7556,812,1,0.5816,0.3778,0.0406,137.12,2455040,853.744,0,0,0,0
5000,20000,1,8192,32,20000,9090,10081,829,1,0.4545,0.50405,0.04145,156.695,2782592,846.768,0,0,0,0
5000,20000,1,8192,64,20000,7959,11216,825,1,0.39795,0.5608,0.04125,165.058,2926848,845.542,0,0,0,0
5000,20000,1,8192,128,20000,13878,5307,815,1,0.6939,0.26535,0.04075,120.365,2167936,858.848,0,0,0,0
5000,20000,1,8192,256,20000,12944,6232,824,1,0.6472,0.3116,0.0412,127.64,2288640,854.989,0,0,0,0
